B7518	36.75861 	113.05722 
B7519	36.87889 	113.00722 
B7520	36.94583 	112.74778 
B7521	36.82667 	112.91667 
B7522	36.84472 	113.06833 
B7523	37.03500 	112.52861 
B7524	37.06361 	112.72333 
B7525	36.94111 	112.85056 
B7526	36.76028 	112.93861 
B7527	36.75639 	113.17000 
B7528	36.93917 	113.29694 
B7529	36.81778 	113.34194 
B7542	36.65556 	112.69111 
B7543	36.62833 	112.63333 
B7545	36.81083 	112.65278 
B7546	36.60056 	112.66750 
B7547	36.80639 	112.75750 
B7548	36.90889 	112.61250 
B7549	36.69944 	112.81889 
B7550	36.48278 	112.64611 
B7551	36.74750 	112.57944 
B7552	36.68722 	112.59694 
B7553	36.63694 	112.74361 
B7554	36.66806 	112.67750 
B7555	36.54500 	112.54667 
B7556	36.71361 	112.71639 
B7572	36.63778 	112.20472 
B7573	36.65528 	112.47722 
B7575	36.87722 	112.19111 
B7576	36.66917 	112.31667 
B7577	36.54833 	112.14139 
B7578	36.80889 	112.39194 
B7579	36.42167 	112.40167 
B7580	36.61694 	112.38722 
B7581	36.78167 	112.21694 
B7582	36.45167 	112.23583 
B7583	36.87472 	112.42972 
B7584	36.56778 	112.23111 
B7585	36.73278 	112.04528 
B7586	36.79000 	112.31889 
B7602	36.58111 	113.12889 
B7603	36.46167 	113.15972 
B7606	36.51444 	112.91917 
B7607	36.50139 	113.07500 
B7608	36.56500 	112.80833 
B7609	36.44944 	112.98833 
B7610	36.52056 	112.75722 
B7611	36.66250 	112.94639 
B7612	36.69139 	113.09806 
B7613	36.56250 	113.06639 
B7614	36.61722 	113.01083 
B7632	36.68250 	113.37667 
B7633	36.57917 	113.25028 
B7636	36.74194 	113.40583 
B7637	36.53778 	113.46444 
B7638	36.44194 	113.41667 
B7639	36.46722 	113.35833 
B7640	36.52444 	113.42306 
B7641	36.59417 	113.40722 
B7642	36.80222 	113.44861 
B7662	36.45861 	113.07611 
B7663	36.38861 	113.16500 
B7665	36.43722 	113.09278 
B7666	36.46056 	113.31278 
B7669	36.37750 	113.25500 
B7670	36.34944 	113.15833 
B7680	36.29167 	113.26472 
B7681	36.32472 	113.28028 
